"id","weight","male","catholic","Belfast","N.Eastern","Southern","S.Eastern","Western","Grammar","funemp","gcse5eq","fmpr","livboth","Jul.93","Aug.93","Sep.93","Oct.93","Nov.93","Dec.93","Jan.94","Feb.94","Mar.94","Apr.94","May.94","Jun.94","Jul.94","Aug.94","Sep.94","Oct.94","Nov.94","Dec.94","Jan.95","Feb.95","Mar.95","Apr.95","May.95","Jun.95","Jul.95","Aug.95","Sep.95","Oct.95","Nov.95","Dec.95","Jan.96","Feb.96","Mar.96","Apr.96","May.96","Jun.96","Jul.96","Aug.96","Sep.96","Oct.96","Nov.96","Dec.96","Jan.97","Feb.97","Mar.97","Apr.97","May.97","Jun.97","Jul.97","Aug.97","Sep.97","Oct.97","Nov.97","Dec.97","Jan.98","Feb.98","Mar.98","Apr.98","May.98","Jun.98","Jul.98","Aug.98","Sep.98","Oct.98","Nov.98","Dec.98","Jan.99","Feb.99","Mar.99","Apr.99","May.99","Jun.99"
181,0.45,"yes","yes","no","no","yes","no","no","no","no","no","no","no","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE"
182,0.45,"no","no","no","no","yes","no","no","no","no","no","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
183,0.69,"no","no","no","no","no","yes","no","no","no","no","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
184,0.98,"yes","no","no","no","yes","no","no","no","no","no","yes","no","joblessness","joblessness","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
185,2.88,"yes","no","no","no","yes","no","no","no","no","yes","no","no","joblessness","joblessness","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
186,0.45,"no","no","no","no","yes","no","no","no","no","no","no","yes","employment","employment","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
187,0.98,"yes","yes","no","no","yes","no","no","no","no","no","yes","no","joblessness","joblessness","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
188,0.45,"no","no","no","no","yes","no","no","no","no","no","no","yes","joblessness","joblessness","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
189,0.45,"no","no","no","no","yes","no","no","no","no","no","yes","no","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
190,2.88,"no","no","no","no","yes","no","no","no","no","no","no","no","joblessness","joblessness","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
191,0.89,"yes","no","no","yes","no","no","no","no","no","no","no","no","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
192,0.4,"no","yes","no","yes","no","no","no","no","no","yes","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
193,0.23,"no","yes","no","yes","no","no","no","no","no","yes","yes","yes","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
194,1.78,"no","no","no","yes","no","no","no","yes","no","yes","no","yes","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
195,0.89,"yes","no","no","yes","no","no","no","no","no","no","yes","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
196,0.87,"no","yes","no","yes","no","no","no","no","no","yes","yes","yes","joblessness","joblessness","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
197,0.4,"no","yes","no","yes","no","no","no","no","no","no","yes","no","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
198,0.4,"yes","yes","no","yes","no","no","no","no","no","yes","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
199,0.4,"no","yes","no","yes","no","no","no","no","yes","yes","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
200,0.4,"no","yes","no","yes","no","no","no","no","yes","no","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
201,0.23,"yes","yes","no","yes","no","no","no","no","yes","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
202,0.23,"yes","yes","no","yes","no","no","no","no","yes","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
203,0.87,"no","no","no","yes","no","no","no","no","yes","no","no","no","joblessness","joblessness","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
204,0.4,"no","no","no","yes","no","no","no","no","yes","no","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","joblessness","joblessness","employment","employment"
205,0.89,"no","no","no","yes","no","no","no","no","yes","yes","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
206,0.87,"no","yes","no","yes","no","no","no","no","yes","yes","no","yes","joblessness","joblessness","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment"
207,0.64,"yes","yes","no","yes","no","no","no","yes","no","yes","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
208,1.78,"no","yes","no","yes","no","no","no","yes","no","yes","no","yes","employment","joblessness","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE"
209,0.87,"yes","yes","no","yes","no","no","no","no","no","yes","yes","yes","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
210,0.23,"yes","yes","no","yes","no","no","no","no","no","no","yes","no","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
211,0.4,"no","no","no","yes","no","no","no","no","no","no","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
212,0.69,"yes","yes","no","no","no","yes","no","no","no","no","no","no","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
213,0.55,"yes","no","no","no","no","yes","no","no","no","no","no","no","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
214,0.69,"yes","no","no","no","no","yes","no","no","no","no","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
215,0.69,"no","yes","no","no","no","yes","no","no","no","yes","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
216,0.69,"no","yes","no","no","no","yes","no","no","no","yes","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
217,0.69,"no","yes","no","no","no","yes","no","no","no","no","yes","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
218,0.69,"yes","no","no","no","no","yes","no","no","no","yes","yes","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
219,3.6,"yes","yes","no","no","no","yes","no","no","no","no","yes","yes","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
220,0.69,"no","yes","no","no","no","yes","no","no","no","yes","no","yes","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
221,1.59,"yes","no","no","no","no","no","yes","no","yes","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
222,0.57,"yes","no","no","no","no","no","yes","no","yes","no","no","yes","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE"
223,1.59,"yes","yes","no","no","no","no","yes","no","no","no","no","yes","joblessness","joblessness","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
224,0.57,"no","no","no","no","no","no","yes","no","no","yes","no","no","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
225,0.57,"no","no","no","no","no","no","yes","no","no","yes","no","no","employment","employment","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment"
226,0.33,"no","yes","no","no","no","no","yes","no","yes","no","no","no","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","employment","employment","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
227,1.59,"yes","yes","no","no","no","no","yes","no","yes","no","no","yes","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","training","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
228,4.46,"no","yes","no","no","no","no","yes","yes","no","yes","no","yes","employment","employment","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","school","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
229,0.33,"yes","yes","no","no","no","no","yes","no","yes","no","no","yes","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
230,0.57,"no","yes","no","no","no","no","yes","no","no","yes","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
231,2.88,"yes","yes","no","no","no","no","yes","no","no","no","no","yes","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","employment","employment","employment","employment","employment","employment"
232,0.57,"no","yes","no","no","no","no","yes","no","yes","yes","no","yes","joblessness","joblessness","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","training","training","training","training","training","training","training","training","training","training","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness","joblessness"
233,0.57,"no","yes","no","no","no","no","yes","no","no","yes","no","yes","employment","employment","employment","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","employment","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE","HE"
